discouraged_ability,alpha,test_ability,score,baseline,delta_pct
AT,-1.0,KNs,274.0,266.0,3.007518796992481
AT,-1.0,AT,100.0,99.0,1.0101010101010102
AT,-1.0,VO,22.0,18.0,22.22222222222222
AT,0.0,AS,28.0,28.0,0.0
AT,0.0,CEc,83.0,83.0,0.0
AT,0.0,CEe,3.0,3.0,0.0
AT,0.0,CL,43.0,43.0,0.0
AT,0.0,MCr,29.0,29.0,0.0
AT,0.0,MCt,138.0,138.0,0.0
AT,0.0,MCu,88.0,88.0,0.0
AT,0.0,MS,20.0,20.0,0.0
AT,0.0,QLl,55.0,55.0,0.0
AT,0.0,QLq,61.0,61.0,0.0
AT,0.0,SNs,0.0,0.0,0.0
AT,0.0,KNa,464.0,464.0,0.0
AT,0.0,KNc,239.0,239.0,0.0
AT,0.0,KNf,233.0,233.0,0.0
AT,0.0,KNn,195.0,195.0,0.0
AT,0.0,KNs,266.0,266.0,0.0
AT,0.0,AT,99.0,99.0,0.0
AT,0.0,VO,18.0,18.0,0.0
AT,0.5,AS,23.0,28.0,-17.857142857142858
AT,0.5,CEc,79.0,83.0,-4.819277108433735
AT,0.5,CEe,3.0,3.0,0.0
AT,0.5,CL,43.0,43.0,0.0
AT,0.5,MCr,29.0,29.0,0.0
AT,0.5,MCt,136.0,138.0,-1.4492753623188406
AT,0.5,MCu,88.0,88.0,0.0
AT,0.5,MS,20.0,20.0,0.0
AT,0.5,QLl,59.0,55.0,7.2727272727272725
AT,0.5,QLq,55.0,61.0,-9.836065573770492
AT,0.5,SNs,0.0,0.0,0.0
AT,0.5,KNa,462.0,464.0,-0.43103448275862066
AT,0.5,KNc,233.0,239.0,-2.510460251046025
AT,0.5,KNf,228.0,233.0,-2.1459227467811157
AT,0.5,KNn,188.0,195.0,-3.5897435897435894
AT,0.5,KNs,259.0,266.0,-2.631578947368421
AT,0.5,AT,103.0,99.0,4.040404040404041
AT,0.5,VO,16.0,18.0,-11.11111111111111
CEc,-3.0,AS,29.0,28.0,3.571428571428571
CEc,-3.0,CEc,81.0,83.0,-2.4096385542168677
CEc,-3.0,CEe,3.0,3.0,0.0
CEc,-3.0,CL,27.0,43.0,-37.2093023255814
CEc,-3.0,MCr,29.0,29.0,0.0
CEc,-3.0,MCt,127.0,138.0,-7.971014492753622
CEc,-3.0,MCu,86.0,88.0,-2.272727272727273
CEc,-3.0,MS,22.0,20.0,10.0
CEc,-3.0,QLl,66.0,55.0,20.0
CEc,-3.0,QLq,53.0,61.0,-13.114754098360656
CEc,-3.0,SNs,0.0,0.0,0.0
CEc,-3.0,KNa,349.0,464.0,-24.78448275862069
CEc,-3.0,KNc,205.0,239.0,-14.225941422594143
CEc,-3.0,KNf,186.0,233.0,-20.171673819742487
CEc,-3.0,KNn,133.0,195.0,-31.794871794871792
CEc,-3.0,KNs,246.0,266.0,-7.518796992481203
CEc,-3.0,AT,110.0,99.0,11.11111111111111
CEc,-3.0,VO,20.0,18.0,11.11111111111111
CEc,-2.0,AS,29.0,28.0,3.571428571428571
CEc,-2.0,CEc,84.0,83.0,1.2048192771084338
CEc,-2.0,CEe,3.0,3.0,0.0
CEc,-2.0,CL,34.0,43.0,-20.930232558139537
CEc,-2.0,MCr,29.0,29.0,0.0
CEc,-2.0,MCt,125.0,138.0,-9.420289855072465
CEc,-2.0,MCu,87.0,88.0,-1.1363636363636365
CEc,-2.0,MS,22.0,20.0,10.0
CEc,-2.0,QLl,66.0,55.0,20.0
CEc,-2.0,QLq,62.0,61.0,1.639344262295082
CEc,-2.0,SNs,0.0,0.0,0.0
CEc,-2.0,KNa,392.0,464.0,-15.517241379310345
CEc,-2.0,KNc,219.0,239.0,-8.368200836820083
CEc,-2.0,KNf,214.0,233.0,-8.15450643776824
CEc,-2.0,KNn,151.0,195.0,-22.564102564102566
CEc,-2.0,KNs,251.0,266.0,-5.639097744360902
CEc,-2.0,AT,111.0,99.0,12.121212121212121
CEc,-2.0,VO,18.0,18.0,0.0
CEc,-1.5,AS,26.0,28.0,-7.142857142857142
CEc,-1.5,CEc,89.0,83.0,7.228915662650602
CEc,-1.5,CEe,3.0,3.0,0.0
CEc,-1.5,CL,37.0,43.0,-13.953488372093023
CEc,-1.5,MCr,32.0,29.0,10.344827586206897
CEc,-1.5,MCt,133.0,138.0,-3.6231884057971016
CEc,-1.5,MCu,94.0,88.0,6.8181818181818175
CEc,-1.5,MS,25.0,20.0,25.0
CEc,-1.5,QLl,62.0,55.0,12.727272727272727
CEc,-1.5,QLq,55.0,61.0,-9.836065573770492
CEc,-1.5,SNs,0.0,0.0,0.0
CEc,-1.5,KNa,395.0,464.0,-14.870689655172415
CEc,-1.5,KNc,219.0,239.0,-8.368200836820083
CEc,-1.5,KNf,213.0,233.0,-8.583690987124463
CEc,-1.5,KNn,154.0,195.0,-21.025641025641026
CEc,-1.5,KNs,257.0,266.0,-3.3834586466165413
CEc,-1.5,AT,105.0,99.0,6.0606060606060606
CEc,-1.5,VO,20.0,18.0,11.11111111111111
CEc,-1.0,AS,26.0,28.0,-7.142857142857142
CEc,-1.0,CEc,86.0,83.0,3.614457831325301
CEc,-1.0,CEe,3.0,3.0,0.0
CEc,-1.0,CL,34.0,43.0,-20.930232558139537
CEc,-1.0,MCr,25.0,29.0,-13.793103448275861
CEc,-1.0,MCt,137.0,138.0,-0.7246376811594203
CEc,-1.0,MCu,87.0,88.0,-1.1363636363636365
CEc,-1.0,MS,22.0,20.0,10.0
CEc,-1.0,QLl,58.0,55.0,5.454545454545454
