discouraged_ability,alpha,test_ability,score,baseline,delta_pct
CEc,-3.0,VO,72.0,84.0,-14.285714285714285
CEc,-2.0,AS,174.0,229.0,-24.017467248908297
CEc,-2.0,CEc,299.0,316.0,-5.379746835443038
CEc,-2.0,CEe,27.0,30.0,-10.0
CEc,-2.0,CL,225.0,252.0,-10.714285714285714
CEc,-2.0,MCr,177.0,193.0,-8.290155440414509
CEc,-2.0,MCt,336.0,376.0,-10.638297872340425
CEc,-2.0,MCu,373.0,426.0,-12.44131455399061
CEc,-2.0,MS,80.0,86.0,-6.976744186046512
CEc,-2.0,QLl,225.0,236.0,-4.661016949152542
CEc,-2.0,QLq,111.0,117.0,-5.128205128205128
CEc,-2.0,SNs,0.0,0.0,0.0
CEc,-2.0,KNa,435.0,517.0,-15.860735009671178
CEc,-2.0,KNc,295.0,317.0,-6.940063091482649
CEc,-2.0,KNf,252.0,266.0,-5.263157894736842
CEc,-2.0,KNn,216.0,274.0,-21.16788321167883
CEc,-2.0,KNs,313.0,346.0,-9.53757225433526
CEc,-2.0,AT,313.0,350.0,-10.571428571428571
CEc,-2.0,VO,81.0,84.0,-3.571428571428571
CEc,-1.5,AS,180.0,229.0,-21.397379912663755
CEc,-1.5,CEc,303.0,316.0,-4.113924050632911
CEc,-1.5,CEe,27.0,30.0,-10.0
CEc,-1.5,CL,231.0,252.0,-8.333333333333332
CEc,-1.5,MCr,187.0,193.0,-3.1088082901554404
CEc,-1.5,MCt,351.0,376.0,-6.648936170212766
CEc,-1.5,MCu,384.0,426.0,-9.859154929577464
CEc,-1.5,MS,83.0,86.0,-3.488372093023256
CEc,-1.5,QLl,228.0,236.0,-3.389830508474576
CEc,-1.5,QLq,107.0,117.0,-8.547008547008547
CEc,-1.5,SNs,0.0,0.0,0.0
CEc,-1.5,KNa,446.0,517.0,-13.733075435203096
CEc,-1.5,KNc,296.0,317.0,-6.624605678233439
CEc,-1.5,KNf,248.0,266.0,-6.7669172932330826
CEc,-1.5,KNn,222.0,274.0,-18.97810218978102
CEc,-1.5,KNs,322.0,346.0,-6.9364161849710975
CEc,-1.5,AT,319.0,350.0,-8.857142857142856
CEc,-1.5,VO,78.0,84.0,-7.142857142857142
CEc,-1.0,AS,201.0,229.0,-12.22707423580786
CEc,-1.0,CEc,306.0,316.0,-3.1645569620253164
CEc,-1.0,CEe,27.0,30.0,-10.0
CEc,-1.0,CL,240.0,252.0,-4.761904761904762
CEc,-1.0,MCr,186.0,193.0,-3.6269430051813467
CEc,-1.0,MCt,367.0,376.0,-2.393617021276596
CEc,-1.0,MCu,401.0,426.0,-5.868544600938967
CEc,-1.0,MS,83.0,86.0,-3.488372093023256
CEc,-1.0,QLl,236.0,236.0,0.0
